date,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,close_diff_1,adAverage_diff_1,adAverage_pct_1,adclose_pct_1,adclose_diff_1,close_pct_1,close_diff_1_shift_back_1,adAverage_diff_1_shift_back_1,adclose_diff_1_shift_back_1,adclose_pct_1_shift_back_1,adAverage_pct_1_shift_back_1,close_pct_1_shift_back_1,SMA_10,SMA_20,RSI,Stoch,adClose_Lag1,adClose_Lag2,VWAP,ADL,Upper_Band,Middle_Band,Lower_Band,MACD,%K,%D,MoM
2017-02-02,5.7,6.5,4.9,6.5,6.5,6.5,6.5,6.5,4.985,4.985,4.985,4.985,4.985,100.0,650000.0,0.8,0.6135,14.0351,0.14021043000914912,0.6130000000000004,0.14035087719298245,0.9,0.6902,0.6899999999999995,0.13841524573721142,13.8462,0.1384615384615384,4.4333,,100.0,-29.791666666666668,4.372,4.372,4.985,0.0,,,,,-217.79166666666652,-385.93055555555526,0.6130000000000004
2017-02-03,6.5,7.4,5.6,7.4,7.4,7.4,7.4,7.4,5.675,5.675,5.675,5.675,5.675,100.0,740000.0,0.9,0.6902,13.8462,0.13841524573721142,0.6899999999999995,0.1384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,4.563599999999999,,100.0,-30.28186274509805,4.985,4.372,2.8375,0.0,,,,,-30.28186274509805,-208.02450980392143,1.303
2017-02-06,7.4,8.5,6.3,7.4,7.4,7.4,7.4,7.4,5.675,5.675,5.675,5.675,5.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.7669,-0.7669999999999995,-0.13515418502202636,-13.5135,-0.1351351351351351,4.693899999999999,4.50985,100.0,-30.77205882352943,5.675,4.985,0.0,0.0,5.342013751914256,4.509849999999999,3.6776862480857426,,-30.77205882352943,-92.94852941176468,1.303
2017-02-07,7.4,8.5,6.3,6.4,6.4,6.4,6.4,6.4,4.908,4.908,4.908,4.908,4.908,100.0,640000.0,-1.0,-0.7669,-13.5135,-0.13515418502202636,-0.7669999999999995,-0.1351351351351351,-0.7,-0.5369,-0.5360000000000005,-0.1092094539527303,-10.9375,-0.109375,4.7475,4.54435,60.696351849743216,-16.50980392156864,5.675,5.675,1.6360000000000001,0.0,5.382446002854087,4.54435,3.7062539971459123,,-16.50980392156864,-25.85457516339872,0.5360000000000005
2017-02-08,6.4,7.3,5.5,5.7,5.7,5.7,5.7,5.7,4.372,4.372,4.372,4.372,4.372,100.0,570000.0,-0.7,-0.5369,-10.9375,-0.1092094539527303,-0.5360000000000005,-0.109375,-0.7,-0.537,-0.536,-0.12259835315645018,-12.2807,-0.1228070175438597,4.7475,4.55205,46.84110902811986,-42.058823529411775,4.908,5.675,1.093,0.0,5.380788674130756,4.5520499999999995,3.7233113258692434,,-42.058823529411775,-29.780228758169965,0.0
2017-02-09,5.7,6.5,4.9,5.0,5.0,5.0,5.0,5.0,3.836,3.836,3.836,3.836,3.836,100.0,500000.0,-0.7,-0.537,-12.2807,-0.12259835315645018,-0.536,-0.1228070175438597,-0.6,-0.4602,-0.46099999999999985,-0.12017726798748696,-12.0,-0.11999999999999988,4.693899999999999,4.5329500000000005,37.59829205365485,-57.73529411764705,4.372,4.908,0.7671999999999999,0.0,5.4079221081268996,4.532949999999999,3.657977891873098,,-57.73529411764705,-38.767973856209174,-0.536
2017-02-10,5.0,5.7,4.3,4.4,4.4,4.4,4.4,4.4,3.375,3.375,3.375,3.375,3.375,100.0,440000.0,-0.6,-0.4602,-12.0,-0.12017726798748696,-0.46099999999999985,-0.11999999999999988,0.0,0.0,0.0,0.0,0.0,0.0,4.594199999999999,4.4831,31.788415731918203,-53.594771241830074,3.836,4.372,0.5625,0.0,5.492369418936316,4.4830999999999985,3.473830581063681,,-53.594771241830074,-51.12962962962965,-0.9969999999999999
2017-02-13,4.4,5.0,3.8,4.4,4.4,4.4,4.4,4.4,3.375,3.375,3.375,3.375,3.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4944999999999995,4.43325,31.788415731918207,-44.63888888888889,3.375,3.836,0.0,0.0,5.552085622421822,4.433249999999999,3.314414377578177,,-38.94444444444446,-50.09150326797388,-0.9969999999999999
2017-02-14,4.4,5.0,3.8,4.4,4.4,4.4,4.4,4.4,3.375,3.375,3.375,3.375,3.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.394799999999999,4.3834,31.788415731918203,-54.75427350427352,3.375,3.375,0.0,0.0,5.593805452730623,4.383399999999999,3.172994547269375,,-34.166666666666686,-42.23529411764709,-0.9969999999999999
2017-02-15,4.4,5.0,3.8,4.4,4.4,4.4,4.4,4.4,3.375,3.375,3.375,3.375,3.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2951,4.333550000000001,31.788415731918207,-100.30982905982911,3.375,3.375,0.0,0.0,5.621373508870705,4.333549999999999,3.045726491129293,,-34.166666666666686,-35.759259259259295,-0.9969999999999999
2017-02-16,4.4,5.0,3.8,4.4,4.4,4.4,4.4,4.4,3.375,3.375,3.375,3.375,3.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.134099999999999,4.2837000000000005,31.788415731918207,-83.22649572649578,3.375,3.375,0.0,0.0,5.637220313848319,4.283699999999999,2.9301796861516785,,-34.166666666666686,-34.16666666666671,-1.6100000000000003
